2023-02-24 11:02:383 INFO  AirBus :79 - I click on cookies[[ChromeDriver: chrome on WINDOWS (a1a54c841b15c9934e3af98d7c5682f0)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 11:02:887 INFO  AirBus :90 - I enter Text[[ChromeDriver: chrome on WINDOWS (a1a54c841b15c9934e3af98d7c5682f0)] -> xpath: //input[@class='css-15xm6qs']]
2023-02-24 11:02:74 INFO  AirBus :95 - I click on[[ChromeDriver: chrome on WINDOWS (a1a54c841b15c9934e3af98d7c5682f0)] -> xpath: //button [@data-automation-id='dateType']]
2023-02-24 11:02:370 INFO  AirBus :103 - I select JOb Catagory[[ChromeDriver: chrome on WINDOWS (a1a54c841b15c9934e3af98d7c5682f0)] -> xpath: //button [@data-automation-id='jobFamilyGroup']]
2023-02-24 11:02:785 INFO  AirBus :109 - I click On search Button[[ChromeDriver: chrome on WINDOWS (a1a54c841b15c9934e3af98d7c5682f0)] -> xpath: //button[@class='css-1guf05z']]
2023-02-24 11:02:535 INFO  AirBus :114 - I click On search Button[[ChromeDriver: chrome on WINDOWS (a1a54c841b15c9934e3af98d7c5682f0)] -> xpath: //a[contains(text(),'Software Test Engineer')]]
2023-02-24 11:02:986 INFO  AirBus :120 - I click On Apply[[ChromeDriver: chrome on WINDOWS (a1a54c841b15c9934e3af98d7c5682f0)] -> xpath: //a[contains(text(),'Apply')]]
2023-02-24 11:02:09 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (a7a0e64efc54aad522bb332702459d92)] -> xpath: //a[@id='btn1_1']]
2023-02-24 11:02:613 INFO  AirBus :79 - I click on cookies[[ChromeDriver: chrome on WINDOWS (a7a0e64efc54aad522bb332702459d92)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 11:02:444 INFO  AirBus :90 - I enter Text[[ChromeDriver: chrome on WINDOWS (a7a0e64efc54aad522bb332702459d92)] -> xpath: //input[@class='css-15xm6qs']]
2023-02-24 11:02:641 INFO  AirBus :95 - I click on[[ChromeDriver: chrome on WINDOWS (a7a0e64efc54aad522bb332702459d92)] -> xpath: //button [@data-automation-id='dateType']]
2023-02-24 11:02:111 INFO  AirBus :103 - I select JOb Catagory[[ChromeDriver: chrome on WINDOWS (a7a0e64efc54aad522bb332702459d92)] -> xpath: //button [@data-automation-id='jobFamilyGroup']]
2023-02-24 11:02:776 INFO  AirBus :109 - I click On search Button[[ChromeDriver: chrome on WINDOWS (a7a0e64efc54aad522bb332702459d92)] -> xpath: //button[@class='css-1guf05z']]
2023-02-24 11:02:961 INFO  AirBus :114 - I click On search Button[[ChromeDriver: chrome on WINDOWS (a7a0e64efc54aad522bb332702459d92)] -> xpath: //a[contains(text(),'Software Test Engineer')]]
2023-02-24 11:02:568 INFO  AirBus :120 - I click On Apply[[ChromeDriver: chrome on WINDOWS (a7a0e64efc54aad522bb332702459d92)] -> xpath: //a[contains(text(),'Apply')]]
2023-02-24 12:02:104 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (11da9fe3611d2e813a5228beda46c85e)] -> xpath: //a[@id='btn1_1']]
2023-02-24 12:02:166 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (c04ae0510955855aab39e835a208f2f7)] -> xpath: //a[@id='btn1_1']]
2023-02-24 12:02:535 INFO  AirBus :79 - I click on cookies[[ChromeDriver: chrome on WINDOWS (c04ae0510955855aab39e835a208f2f7)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 12:02:762 INFO  AirBus :90 - I enter Text[[ChromeDriver: chrome on WINDOWS (c04ae0510955855aab39e835a208f2f7)] -> xpath: //input[@class='css-15xm6qs']]
2023-02-24 12:02:946 INFO  AirBus :95 - I click on[[ChromeDriver: chrome on WINDOWS (c04ae0510955855aab39e835a208f2f7)] -> xpath: //button [@data-automation-id='dateType']]
2023-02-24 12:02:300 INFO  AirBus :103 - I select JOb Catagory[[ChromeDriver: chrome on WINDOWS (c04ae0510955855aab39e835a208f2f7)] -> xpath: //button [@data-automation-id='jobFamilyGroup']]
2023-02-24 12:02:795 INFO  AirBus :109 - I click On search Button[[ChromeDriver: chrome on WINDOWS (c04ae0510955855aab39e835a208f2f7)] -> xpath: //button[@class='css-1guf05z']]
2023-02-24 12:02:601 INFO  AirBus :114 - I click On search Button[[ChromeDriver: chrome on WINDOWS (c04ae0510955855aab39e835a208f2f7)] -> xpath: //a[contains(text(),'Software Test Engineer')]]
2023-02-24 12:02:489 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (839e8627e2b19d3b15c12111db46c091)] -> xpath: //a[@id='btn1_1']]
2023-02-24 12:02:757 INFO  AirBus :79 - I click on cookies[[ChromeDriver: chrome on WINDOWS (839e8627e2b19d3b15c12111db46c091)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 12:02:207 INFO  AirBus :90 - I enter Text[[ChromeDriver: chrome on WINDOWS (839e8627e2b19d3b15c12111db46c091)] -> xpath: //input[@class='css-15xm6qs']]
2023-02-24 12:02:378 INFO  AirBus :95 - I click on[[ChromeDriver: chrome on WINDOWS (839e8627e2b19d3b15c12111db46c091)] -> xpath: //button [@data-automation-id='dateType']]
2023-02-24 12:02:691 INFO  AirBus :103 - I select JOb Catagory[[ChromeDriver: chrome on WINDOWS (839e8627e2b19d3b15c12111db46c091)] -> xpath: //button [@data-automation-id='jobFamilyGroup']]
2023-02-24 12:02:135 INFO  AirBus :109 - I click On search Button[[ChromeDriver: chrome on WINDOWS (839e8627e2b19d3b15c12111db46c091)] -> xpath: //button[@class='css-1guf05z']]
2023-02-24 12:02:07 INFO  AirBus :114 - I click On search Button[[ChromeDriver: chrome on WINDOWS (839e8627e2b19d3b15c12111db46c091)] -> xpath: //a[contains(text(),'Software Test Engineer')]]
2023-02-24 12:02:650 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (65996a45324c874dc3cf295324e0adee)] -> xpath: //a[@id='btn1_1']]
2023-02-24 12:02:692 INFO  AirBus :79 - I click on cookies[[ChromeDriver: chrome on WINDOWS (65996a45324c874dc3cf295324e0adee)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 12:02:87 INFO  AirBus :90 - I enter Text[[ChromeDriver: chrome on WINDOWS (65996a45324c874dc3cf295324e0adee)] -> xpath: //input[@class='css-15xm6qs']]
2023-02-24 12:02:292 INFO  AirBus :95 - I click on[[ChromeDriver: chrome on WINDOWS (65996a45324c874dc3cf295324e0adee)] -> xpath: //button [@data-automation-id='dateType']]
2023-02-24 12:02:581 INFO  AirBus :103 - I select JOb Catagory[[ChromeDriver: chrome on WINDOWS (65996a45324c874dc3cf295324e0adee)] -> xpath: //button [@data-automation-id='jobFamilyGroup']]
2023-02-24 12:02:58 INFO  AirBus :109 - I click On search Button[[ChromeDriver: chrome on WINDOWS (65996a45324c874dc3cf295324e0adee)] -> xpath: //button[@class='css-1guf05z']]
2023-02-24 12:02:878 INFO  AirBus :114 - I click On search Button[[ChromeDriver: chrome on WINDOWS (65996a45324c874dc3cf295324e0adee)] -> xpath: //a[contains(text(),'Software Test Engineer')]]
2023-02-24 12:02:468 INFO  AirBus :120 - I click On Apply[[ChromeDriver: chrome on WINDOWS (65996a45324c874dc3cf295324e0adee)] -> xpath: //a[contains(text(),'Apply')]]
2023-02-24 12:02:800 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (a4d0015bee1548ae13bb0aa3e5cbb1e9)] -> xpath: //a[@id='btn1_1']]
2023-02-24 12:02:640 INFO  AirBus :79 - I click on cookies[[ChromeDriver: chrome on WINDOWS (a4d0015bee1548ae13bb0aa3e5cbb1e9)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 12:02:639 INFO  AirBus :90 - I enter Text[[ChromeDriver: chrome on WINDOWS (a4d0015bee1548ae13bb0aa3e5cbb1e9)] -> xpath: //input[@class='css-15xm6qs']]
2023-02-24 12:02:839 INFO  AirBus :95 - I click on[[ChromeDriver: chrome on WINDOWS (a4d0015bee1548ae13bb0aa3e5cbb1e9)] -> xpath: //button [@data-automation-id='dateType']]
2023-02-24 12:02:149 INFO  AirBus :103 - I select JOb Catagory[[ChromeDriver: chrome on WINDOWS (a4d0015bee1548ae13bb0aa3e5cbb1e9)] -> xpath: //button [@data-automation-id='jobFamilyGroup']]
